team_abbr,team_name,adjust,note,source,created_at
NYK,New York Knicks,0.0,ESPN 未提供傷兵資料,espn_scoreboard,2026-06-10 20:45:34
SAS,San Antonio Spurs,0.0,ESPN 未提供傷兵資料,espn_scoreboard,2026-06-10 20:45:34
