台灣日期,客隊,主隊,away_score,home_score
2026-04-11,Phoenix Suns,Los Angeles Lakers,73,101
2026-04-11,Golden State Warriors,Sacramento Kings,118,124
2026-04-11,LA Clippers,Portland Trail Blazers,97,116
2026-04-11,Memphis Grizzlies,Utah Jazz,101,147
2026-04-11,Minnesota Timberwolves,Houston Rockets,136,132
2026-04-11,Oklahoma City Thunder,Denver Nuggets,107,127
2026-04-11,Toronto Raptors,New York Knicks,95,112
2026-04-11,Brooklyn Nets,Milwaukee Bucks,108,125
2026-04-11,Orlando Magic,Chicago Bulls,127,103
2026-04-11,Philadelphia 76ers,Indiana Pacers,105,94
2026-04-11,New Orleans Pelicans,Boston Celtics,118,144
2026-04-11,Cleveland Cavaliers,Atlanta Hawks,102,124
2026-04-11,Miami Heat,Washington Wizards,140,117
2026-04-11,Detroit Pistons,Charlotte Hornets,118,100
2026-04-10,Los Angeles Lakers,Golden State Warriors,119,103
2026-04-10,Boston Celtics,New York Knicks,106,112
2026-04-10,Philadelphia 76ers,Houston Rockets,102,113
2026-04-10,Chicago Bulls,Washington Wizards,119,108
2026-04-10,Indiana Pacers,Brooklyn Nets,123,94
2026-04-10,Miami Heat,Toronto Raptors,114,128
2026-04-09,Atlanta Hawks,Cleveland Cavaliers,116,122
2026-04-09,Minnesota Timberwolves,Orlando Magic,120,132
2026-04-09,Milwaukee Bucks,Detroit Pistons,111,137
2026-04-09,Memphis Grizzlies,Denver Nuggets,119,136
2026-04-09,Portland Trail Blazers,San Antonio Spurs,101,112
2026-04-09,Oklahoma City Thunder,LA Clippers,128,110
2026-04-09,Dallas Mavericks,Phoenix Suns,107,112
2026-04-08,Utah Jazz,New Orleans Pelicans,137,156
2026-04-08,Houston Rockets,Phoenix Suns,119,105
2026-04-08,Oklahoma City Thunder,Los Angeles Lakers,123,87
2026-04-08,Sacramento Kings,Golden State Warriors,105,110
2026-04-08,Dallas Mavericks,LA Clippers,103,116
2026-04-08,Charlotte Hornets,Boston Celtics,102,113
2026-04-08,Milwaukee Bucks,Brooklyn Nets,90,96
2026-04-08,Minnesota Timberwolves,Indiana Pacers,124,104
2026-04-08,Chicago Bulls,Washington Wizards,129,98
2026-04-08,Miami Heat,Toronto Raptors,95,121
2026-04-07,New York Knicks,Atlanta Hawks,108,105
2026-04-07,Detroit Pistons,Orlando Magic,107,123
2026-04-07,Cleveland Cavaliers,Memphis Grizzlies,142,126
2026-04-07,Philadelphia 76ers,San Antonio Spurs,102,115
2026-04-07,Portland Trail Blazers,Denver Nuggets,132,137
2026-04-06,Charlotte Hornets,Minnesota Timberwolves,122,108
2026-04-06,LA Clippers,Sacramento Kings,138,109
2026-04-06,Los Angeles Lakers,Dallas Mavericks,128,134
2026-04-06,Utah Jazz,Oklahoma City Thunder,111,146
2026-04-06,Orlando Magic,New Orleans Pelicans,112,108
2026-04-06,Toronto Raptors,Boston Celtics,101,115
2026-04-06,Indiana Pacers,Cleveland Cavaliers,108,117
2026-04-06,Memphis Grizzlies,Milwaukee Bucks,115,131
2026-04-06,Phoenix Suns,Chicago Bulls,120,110
2026-04-06,Washington Wizards,Brooklyn Nets,115,121
2026-04-06,Houston Rockets,Golden State Warriors,117,116
